epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,source_path
800,2654.04,6.62269,1.7829,1.63493,0.7071,0.46632,0.57108,0.29516,6.95281,1.84809,1.60108,0.000100038,0.000100038,0.000100038,D:\OBM\CODES\AutoSEG\runs\detect\train19\results.csv
1000,3837.55,7.41795,1.81582,1.64304,0.50199,0.23339,0.28752,0.11336,7.70504,1.77795,1.5709,1.099e-05,1.099e-05,1.099e-05,D:\OBM\CODES\AutoSEG\runs\detect\train190\results.csv
40,167.258,12.5042,3.62782,1.72175,0.34285,0.16392,0.15736,0.04478,12.7955,3.51901,1.65854,0.0017426,0.0017426,0.0017426,D:\OBM\CODES\AutoSEG\runs\detect\train191\results.csv
158,692.218,5.14308,0.829,1.73063,0.72137,0.52471,0.62009,0.31821,5.75018,0.85544,1.65457,0.000517043,0.000517043,0.000517043,D:\OBM\CODES\AutoSEG\runs\detect\train193\results.csv
373,1683.68,3.13258,0.49783,0.83087,0.7091,0.46966,0.56358,0.27522,2.85081,0.41873,0.80797,0.000726118,0.000726118,0.000726118,D:\OBM\CODES\AutoSEG\runs\detect\train194\results.csv
100,304.271,3.72493,1.09258,1.42825,0.48139,0.35255,0.3837,0.13686,4.37952,1.23066,1.31439,0.0001099,0.0001099,0.0001099,D:\OBM\CODES\AutoSEG\runs\detect\train195\results.csv
1000,4373.63,2.88353,0.7254,1.65812,0.76281,0.55011,0.65219,0.33528,3.32232,0.81438,1.6624,0.0001099,0.0001099,0.0001099,D:\OBM\CODES\AutoSEG\runs\detect\train196\results.csv
300,851.664,4.89732,0.69485,1.38931,0.44787,0.32125,0.32864,0.11562,5.56435,0.74274,1.3867,0.000515,0.000515,0.000515,D:\OBM\CODES\AutoSEG\runs\detect\train197\results.csv
800,12889.9,1.68876,0.52149,1.05806,0.8706,0.70384,0.81173,0.53392,2.14562,0.60883,1.06997,5.61875e-05,5.61875e-05,5.61875e-05,D:\OBM\CODES\AutoSEG\runs\detect\train198\results.csv
3,18.4358,5.83969,3.14112,0.7828,0.13437,0.04407,0.03315,0.01057,5.65286,2.06367,0.68695,0.08385,0.000849977,0.000849977,D:\OBM\CODES\AutoSEG\runs\detect\train200\results.csv
797,1412.39,1.91807,0.87219,0.60026,0.55573,0.31598,0.37314,0.15261,2.27445,0.99247,0.56957,0.002836,0.002836,0.002836,D:\OBM\CODES\AutoSEG\runs\detect\train201\results.csv
300,1181.75,7.4511,0.8926,1.11337,0.63384,0.43355,0.51139,0.24623,7.82064,0.91388,1.09814,5.13694e-06,5.13694e-06,5.13694e-06,D:\OBM\CODES\AutoSEG\runs\detect\train202\results.csv
553,1682.01,4.62817,1.22839,0.82276,0.53548,0.2629,0.31216,0.12302,4.43744,1.23758,0.7596,0.002516,0.002516,0.002516,D:\OBM\CODES\AutoSEG\runs\detect\train203\results.csv
499,2124.95,7.3288,2.40838,1.09405,0.50647,0.236,0.28966,0.10758,8.13648,2.64408,1.06182,0.0011036,0.0011036,0.0011036,D:\OBM\CODES\AutoSEG\runs\detect\train204\results.csv
300,1510.82,2.86442,0.79643,0.54784,0.75956,0.59634,0.68599,0.37736,2.90226,0.80958,0.54534,0.000100271,0.000100271,0.000100271,D:\OBM\CODES\AutoSEG\runs\detect\train205\results.csv
22,105.958,2.46607,1.0934,0.92571,0.33956,0.10969,0.12164,0.03516,3.13697,1.53976,0.83668,0.00125455,0.00125455,0.00125455,D:\OBM\CODES\AutoSEG\runs\detect\train207\results.csv
800,4606.02,3.09574,0.81314,2.32774,0.71046,0.52718,0.61584,0.3158,3.3783,0.85287,2.22288,5.01926e-06,5.01926e-06,5.01926e-06,D:\OBM\CODES\AutoSEG\runs\detect\train208\results.csv
1000,5629.01,3.14939,1.27118,1.64752,0.7104,0.46812,0.57764,0.29337,3.30707,1.29447,1.61628,0.0001009,0.0001009,0.0001009,D:\OBM\CODES\AutoSEG\runs\detect\train209\results.csv
600,2401.32,2.80073,0.90706,0.7962,0.69653,0.45964,0.55394,0.25742,3.01784,1.01979,0.81503,1.00685e-05,1.00685e-05,1.00685e-05,D:\OBM\CODES\AutoSEG\runs\detect\train21\results.csv
15,51.2714,3.92422,1.29012,0.89184,0,0,0,0,nan,nan,nan,0.0603764,0.00437642,0.00437642,D:\OBM\CODES\AutoSEG\runs\detect\train210\results.csv
800,3727.34,2.53522,0.30636,1.06238,0.75815,0.51729,0.62814,0.35135,2.8194,0.33489,1.05055,2.24875e-05,2.24875e-05,2.24875e-05,D:\OBM\CODES\AutoSEG\runs\detect\train211\results.csv
1000,2822.45,3.14654,0.45592,0.60868,0.70109,0.53709,0.60242,0.29526,3.55576,0.46202,0.60021,0.000500011,0.000500011,0.000500011,D:\OBM\CODES\AutoSEG\runs\detect\train213\results.csv
292,912.493,2.92739,0.78875,1.06268,0.42707,0.17614,0.18856,0.06038,2.75521,0.71462,1.05608,0.0051985,0.0051985,0.0051985,D:\OBM\CODES\AutoSEG\runs\detect\train214\results.csv
100,403.853,6.03022,1.95823,1.176,0.31001,0.27746,0.22917,0.06802,6.51543,1.91618,1.09487,0.000199,0.000199,0.000199,D:\OBM\CODES\AutoSEG\runs\detect\train215\results.csv
600,2245.89,1.50131,0.37624,0.81469,0.67761,0.45854,0.52706,0.23041,1.89596,0.48585,0.83272,0.001015,0.001015,0.001015,D:\OBM\CODES\AutoSEG\runs\detect\train216\results.csv
600,2335.53,3.54274,0.81226,0.78057,0.6065,0.25563,0.33204,0.14391,3.29159,0.80601,0.76196,0.000500031,0.000500031,0.000500031,D:\OBM\CODES\AutoSEG\runs\detect\train217\results.csv
